Ano,Mes,TasaPais,TasaMontevideo,TasaInterior
2019,8,9.06,9.51,8.74
2019,9,9.47,8.82,9.95
2019,10,8.8,9.18,8.52
2019,11,9.2,8.06,9.99
2019,12,8.5,8.09,8.79
2020,1,8.5,8.79,8.3
2020,2,10.5,10.64,10.39
2020,3,10.1,10.6,9.7
2020,4,9.7,9.2,10
2020,5,9.7,9.4,10
2020,6,10.7,10,11.2
2020,7,10.6,9.6,11.3
2020,8,10.8,10,11.3
2020,9,11,9.4,12.1
2020,10,11.2,9.6,12.3
2020,11,10.9,8.4,12.5
2020,12,10.5,8.4,11.9
2021,1,10.7,9.9,11.2
2021,2,11.1,10.8,11.3
2021,3,9.7,10,9.4
2021,4,9.7,9.8,9.6
2021,5,10.2,9.5,10.7
2021,6,9.4,8.8,9.8
2021,7,10.4,11.3,9.8
2021,8,9.5,10.2,9
2021,9,9.4,10.1,8.9
2021,10,8,8,8
2021,11,7.4,7.3,7.4
2021,12,7,6.6,7.3
2022,1,7.4,7.6,7.2
2022,2,7.3,7.5,7.2
2022,3,7.7,7.4,8
2022,4,7.7,7.6,7.8
2022,5,8.1,8.4,7.8
2022,6,8.4,8.4,8.4
2022,7,8.1,7.9,8.2
2022,8,7.9,7.6,8.2
2022,9,8.3,7.6,8.7
2022,10,7.8,7.1,8.3
2022,11,7.77,7.3,8.1
2022,12,7.9,7.1,8.4
2023,1,8.54,7.9,9
2023,2,8.1,7.6,8.5
2023,3,8.6,7.8,9.1
2023,4,8.77,8.2,9.1
2023,5,8.7,7.3,9.6
2023,6,8.23,7.3,8.8
2023,7,7.77,7.2,8.1
2023,8,8.23,7.3,8.8
2023,9,8.31,8.1,8.5
2023,10,8.59,8.2,8.9
2023,11,8.3,7.3,8.9
2023,12,7.81,6.54,8.63
2024,1,8.55,7.28,9.38
2024,2,8.32,7.73,8.71
2024,3,8.97,7.94,9.64
2024,4,8.97,7.56,9.9
2024,5,8.5,7.7,9.07
2024,6,8.15,7.68,8.46
2024,7,8.34,7.78,8.71
2024,8,8.38,7.71,8.82
2024,9,8.09,7.33,8.59
